profile_link,language
https://www.whitecase.com/people/steven-sha,English
https://www.whitecase.com/people/steven-sha,Mandarin
https://www.whitecase.com/people/clara-shirota,English
https://www.whitecase.com/people/clara-shirota,Cantonese
https://www.whitecase.com/people/clara-shirota,Mandarin
https://www.whitecase.com/people/clara-shirota,Japanese
https://www.whitecase.com/people/paul-tang,English
https://www.whitecase.com/people/paul-tang,Mandarin
https://www.whitecase.com/people/paul-tang,Cantonese
https://www.whitecase.com/people/vivian-tsoi,English
https://www.whitecase.com/people/vivian-tsoi,Cantonese
https://www.whitecase.com/people/vivian-tsoi,Mandarin
https://www.whitecase.com/people/anthony-tony-wong,English
https://www.whitecase.com/people/anthony-tony-wong,Cantonese
https://www.whitecase.com/people/daniel-yeh,English
https://www.whitecase.com/people/daniel-yeh,Mandarin
https://www.whitecase.com/people/alex-zhang,English
https://www.whitecase.com/people/alex-zhang,Mandarin
https://www.whitecase.com/people/jessica-zhou,English
https://www.whitecase.com/people/jessica-zhou,Mandarin
https://www.whitecase.com/people/stephen-howard,English
https://www.whitecase.com/people/james-hsiao,English
https://www.whitecase.com/people/james-hsiao,Mandarin
https://www.whitecase.com/people/shaohui-jiang,English
https://www.whitecase.com/people/shaohui-jiang,Mandarin
https://www.whitecase.com/people/tzi-yang-seow,English
https://www.whitecase.com/people/tzi-yang-seow,Mandarin
https://www.whitecase.com/people/peiwen-chen,English
https://www.whitecase.com/people/peiwen-chen,Mandarin
https://www.whitecase.com/people/peiwen-chen,Cantonese
https://www.whitecase.com/people/peiwen-chen,Japanese
https://www.whitecase.com/people/christopher-corr,English
https://www.whitecase.com/people/nathaniel-crowley,English
https://www.whitecase.com/people/xuan-jin,English
https://www.whitecase.com/people/xuan-jin,Mandarin
https://www.whitecase.com/people/ming-lee-leung,Cantonese
https://www.whitecase.com/people/ming-lee-leung,English
https://www.whitecase.com/people/ming-lee-leung,Mandarin
https://www.whitecase.com/people/ilan-wong,English
https://www.whitecase.com/people/ilan-wong,Mandarin
https://www.whitecase.com/people/denise-cheung,English
https://www.whitecase.com/people/denise-cheung,Cantonese
https://www.whitecase.com/people/denise-cheung,Mandarin
https://www.whitecase.com/people/mark-chu,English
https://www.whitecase.com/people/mark-chu,Mandarin
https://www.whitecase.com/people/yuran-cui,English
https://www.whitecase.com/people/yuran-cui,Mandarin
https://www.whitecase.com/people/jonathan-feng,English
https://www.whitecase.com/people/jonathan-feng,Cantonese
https://www.whitecase.com/people/jonathan-feng,Mandarin
https://www.whitecase.com/people/jennifer-hedges,English
https://www.whitecase.com/people/jennifer-hedges,Spanish
https://www.whitecase.com/people/paulina-ho,Cantonese
https://www.whitecase.com/people/paulina-ho,English
https://www.whitecase.com/people/paulina-ho,Mandarin
https://www.whitecase.com/people/vienna-ho,English
https://www.whitecase.com/people/vienna-ho,Cantonese
https://www.whitecase.com/people/vienna-ho,Mandarin
https://www.whitecase.com/people/jingbo-hou,Mandarin
https://www.whitecase.com/people/jingbo-hou,English
https://www.whitecase.com/people/athena-hui,English
https://www.whitecase.com/people/athena-hui,Cantonese
https://www.whitecase.com/people/athena-hui,Mandarin
https://www.whitecase.com/people/samuel-kha,English
https://www.whitecase.com/people/samuel-kha,Cantonese
https://www.whitecase.com/people/samuel-kha,Mandarin
https://www.whitecase.com/people/samuel-kha,French
https://www.whitecase.com/people/tiffany-lam,English
https://www.whitecase.com/people/tiffany-lam,Mandarin
https://www.whitecase.com/people/tiffany-lam,Cantonese
https://www.whitecase.com/people/katy-lau,Cantonese
