profile_link,education
https://www.whitecase.com/people/vladimir-ivanco,"Master's degree University of Pavol Jozef Safarik Kosice, Slovak Republic"
https://www.whitecase.com/people/michal-palisin,LLM Ghent University Law School Belgium
https://www.whitecase.com/people/michal-palisin,"Master's degree, Faculty of Law Comenius University Bratislava, Slovak Republic"
https://www.whitecase.com/people/peter-hodal,LLM University of Virginia School of Law USA
https://www.whitecase.com/people/peter-hodal,Master's degree University of Economics
https://www.whitecase.com/people/peter-hodal,"Master's degree Comenius University School of Law Bratislava, Slovak Republic"
https://www.whitecase.com/people/olga-oveckova,"Lectureship Comenius University School of Law Bratislava, Slovak Republic"
https://www.whitecase.com/people/olga-oveckova,"DrSc Comenius University School of Law Bratislava, Slovak Republic"
https://www.whitecase.com/people/olga-oveckova,"CSc Comenius University School of Law Bratislava, Slovak Republic"
https://www.whitecase.com/people/olga-oveckova,"JUDr Comenius University School of Law Bratislava, Slovak Republic"
https://www.whitecase.com/people/lukas-kralovic,"Ing., Master's Degree in Taxation and Tax Advisory University of Economics Bratislava, Slovak Republic"
https://www.whitecase.com/people/lukas-kralovic,"JUDr Pan-European University Bratislava, Slovak Republic"
https://www.whitecase.com/people/lukas-kralovic,"Bachelor's Degree in Business Economics and Management University of Economics Bratislava, Slovak Republic"
https://www.whitecase.com/people/lukas-kralovic,"Master's Degree in Law Comenius University Bratislava, Slovak Republic"
https://www.whitecase.com/people/barbora-malik,Master of Laws Charles University
https://www.whitecase.com/people/alex-medek,"Master's Degree Comenius University Faculty of Law Bratislava, Slovak Republic"
https://www.whitecase.com/people/martin-melicher,Master's Degree Comenius University Faculty of Law in Bratislava
https://www.whitecase.com/people/martin-melicher,Master's Degree Economy University of Economics in Bratislava
https://www.whitecase.com/people/martin-melicher,Bachelor's Degree Comenius University Faculty of Law in Bratislava
https://www.whitecase.com/people/martin-melicher,Bachelor's Degree Economy University of Economics in Bratislava
https://www.whitecase.com/people/martin-melicher,"Erasmus Programme, ISCTE - Lisbon University Institute"
https://www.whitecase.com/people/thierry-bosly,LLM Georgetown University
https://www.whitecase.com/people/thierry-bosly,Licence en Droit UCL
https://www.whitecase.com/people/thierry-bosly,Candidature en Droit Facultes Universitaires Saint Louis
https://www.whitecase.com/people/katarzyna-czapracka,JSD Columbia Law School
https://www.whitecase.com/people/katarzyna-czapracka,LLM Columbia Law School
https://www.whitecase.com/people/katarzyna-czapracka,Master of Laws Adam Mickiewicz University School of Law
https://www.whitecase.com/people/katarzyna-czapracka,MA Warsaw School of Economics
https://www.whitecase.com/people/genevra-forwood,Postgraduate Diploma in EU Competition Law King's College London
https://www.whitecase.com/people/genevra-forwood,Bar Vocational Course BPP Law School London
https://www.whitecase.com/people/genevra-forwood,Graduate Diploma in Law City University London
https://www.whitecase.com/people/genevra-forwood,"Masters College of Europe, Bruges"
https://www.whitecase.com/people/genevra-forwood,MA University of Edinburgh
