profile_link,bar_court
https://www.whitecase.com/people/ian-cuillerier,New York State Bar
https://www.whitecase.com/people/damien-nyer,New York State Bar
https://www.whitecase.com/people/daniel-abercromby,"Solicitor, England and Wales"
https://www.whitecase.com/people/margie-chan,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/margie-chan,England and Wales
https://www.whitecase.com/people/margie-chan,New York State Bar
https://www.whitecase.com/people/melody-chan,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/melody-chan,England and Wales
https://www.whitecase.com/people/baldwin-cheng,High Court of Hong Kong
https://www.whitecase.com/people/baldwin-cheng,England and Wales
https://www.whitecase.com/people/simon-collins,Hong Kong
https://www.whitecase.com/people/simon-collins,England and Wales
https://www.whitecase.com/people/william-fong,Hong Kong
https://www.whitecase.com/people/bingna-guo,New York State Bar
https://www.whitecase.com/people/bingna-guo,US District Court for the Southern District of New York
https://www.whitecase.com/people/christopher-kelly,"Registered Foreign Lawyer, The Law Society of Hong Kong"
https://www.whitecase.com/people/christopher-kelly,England and Wales
https://www.whitecase.com/people/david-li,Solicitor of England and Wales
https://www.whitecase.com/people/david-li,Advocate and Solicitor of the Supreme Court of Singapore
https://www.whitecase.com/people/eugene-man,Solicitor of the Supreme Court of England and Wales
https://www.whitecase.com/people/eugene-man,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/steven-sha,Hong Kong
https://www.whitecase.com/people/steven-sha,California State Bar
https://www.whitecase.com/people/steven-sha,US Patent and Trademark Office
https://www.whitecase.com/people/clara-shirota,Registered Foreign Attorney in Japan (Gaikokuho Jimu Bengoshi)
https://www.whitecase.com/people/clara-shirota,England and Wales
https://www.whitecase.com/people/clara-shirota,Hong Kong
https://www.whitecase.com/people/clara-shirota,New York State Bar
https://www.whitecase.com/people/paul-tang,England and Wales
https://www.whitecase.com/people/paul-tang,New York State Bar
https://www.whitecase.com/people/paul-tang,"Certificate of Legal Professional Qualification, People's Republic of China"
https://www.whitecase.com/people/paul-tang,"Registered Foreign Lawyer, The Law Society of Hong Kong"
https://www.whitecase.com/people/vivian-tsoi,California State Bar
https://www.whitecase.com/people/vivian-tsoi,Hawaii State Bar
https://www.whitecase.com/people/anthony-tony-wong,England and Wales
https://www.whitecase.com/people/anthony-tony-wong,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/daniel-yeh,Hong Kong
https://www.whitecase.com/people/daniel-yeh,New York State Bar
https://www.whitecase.com/people/alex-zhang,District of Columbia Bar
https://www.whitecase.com/people/alex-zhang,Minnesota State Bar
https://www.whitecase.com/people/jessica-zhou,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/jessica-zhou,New York State Bar
https://www.whitecase.com/people/stephen-howard,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/stephen-howard,England and Wales
https://www.whitecase.com/people/stephen-howard,"New South Wales, Australia"
https://www.whitecase.com/people/james-hsiao,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/james-hsiao,New York State Bar
https://www.whitecase.com/people/james-hsiao,California State Bar
https://www.whitecase.com/people/shaohui-jiang,New York State Bar
https://www.whitecase.com/people/tzi-yang-seow,Singapore Bar
https://www.whitecase.com/people/peiwen-chen,Hong Kong
https://www.whitecase.com/people/peiwen-chen,Victoria Supreme Court and the High Court of Australia
https://www.whitecase.com/people/christopher-corr,Pennsylvania State Bar
https://www.whitecase.com/people/christopher-corr,District of Columbia Bar
https://www.whitecase.com/people/christopher-corr,US Court of International Trade
https://www.whitecase.com/people/christopher-corr,US Court of Appeals for the Federal Circuit and District of Columbia Circuit
https://www.whitecase.com/people/nathaniel-crowley,Solicitor of the Senior Courts of England and Wales
https://www.whitecase.com/people/nathaniel-crowley,Republic of Ireland
https://www.whitecase.com/people/nathaniel-crowley,"Registered Foreign Lawyer, Hong Kong"
https://www.whitecase.com/people/xuan-jin,England and Wales
https://www.whitecase.com/people/xuan-jin,"Registered Foreign Lawyer, The Law Society of Hong Kong"
https://www.whitecase.com/people/ming-lee-leung,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/ming-lee-leung,New York State Bar
https://www.whitecase.com/people/ming-lee-leung,"Certificate of Legal Professional Qualification, People's Republic of China"
https://www.whitecase.com/people/ilan-wong,"Registered Foreign Lawyer, The Law Society of Hong Kong"
https://www.whitecase.com/people/ilan-wong,New York State Bar
https://www.whitecase.com/people/ilan-wong,New Jersey State Bar
https://www.whitecase.com/people/denise-cheung,New York State Bar
https://www.whitecase.com/people/mark-chu,Illinois
https://www.whitecase.com/people/mark-chu,Hong Kong
https://www.whitecase.com/people/yuran-cui,New York State Bar
https://www.whitecase.com/people/jonathan-feng,England and Wales
https://www.whitecase.com/people/jonathan-feng,"Registered Foreign Lawyer, The Law Society of Hong Kong"
https://www.whitecase.com/people/jennifer-hedges,England and Wales
https://www.whitecase.com/people/jennifer-hedges,"Registered Foreign Lawyer, The Law Society of Hong Kong"
https://www.whitecase.com/people/paulina-ho,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/vienna-ho,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/jingbo-hou,New York State Bar
https://www.whitecase.com/people/athena-hui,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/samuel-kha,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/tiffany-lam,Hong Kong S.A.R.
https://www.whitecase.com/people/tiffany-lam,New York State Bar
https://www.whitecase.com/people/tiffany-lam,England and Wales
https://www.whitecase.com/people/katy-lau,Hong Kong
https://www.whitecase.com/people/hayley-law,Supreme Court of New South Wales
https://www.whitecase.com/people/ivan-lee,Hong Kong
https://www.whitecase.com/people/sabrina-lee,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/vincent-lee,New York State Bar
https://www.whitecase.com/people/vincent-lee,"Registered Foreign Lawyer, The Law Society of Hong Kong"
https://www.whitecase.com/people/aurora-leung,Hong Kong
https://www.whitecase.com/people/hilda-leung,High Court of Hong Kong
https://www.whitecase.com/people/wilson-leung,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/bob-li,Illinois State Bar
https://www.whitecase.com/people/xiang-li,New York State Bar
https://www.whitecase.com/people/xiang-li,PRC Bar
https://www.whitecase.com/people/hazel-lim,Advocate and Solicitor of the Supreme Court of Singapore
https://www.whitecase.com/people/rebecca-ling,"Registered Foreign Lawyer, The Law Society of Hong Kong"
https://www.whitecase.com/people/rebecca-ling,England and Wales
https://www.whitecase.com/people/cong-liu,PRC Bar
https://www.whitecase.com/people/cong-liu,New York State Bar
https://www.whitecase.com/people/cong-liu,New Jersey State Bar
https://www.whitecase.com/people/tianren-liu,New York State Bar
https://www.whitecase.com/people/tianren-liu,PRC Bar
https://www.whitecase.com/people/shifeng-ni,"Registered Foreign Lawyer, Hong Kong"
https://www.whitecase.com/people/shifeng-ni,New York State Bar
https://www.whitecase.com/people/chunlei-pang,PRC Bar
https://www.whitecase.com/people/chunlei-pang,New York State Bar
https://www.whitecase.com/people/florence-poon,Hong Kong
https://www.whitecase.com/people/frank-shu,China
https://www.whitecase.com/people/esther-so,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/natalie-so,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/jin-yu-tan,"Registered Foreign Lawyer, The Law Society of Hong Kong"
https://www.whitecase.com/people/jeff-wang,District of Columbia Bar
https://www.whitecase.com/people/jeff-wang,PRC Bar
https://www.whitecase.com/people/matthew-weetman,Solicitor of the Supreme Court of New South Wales of Australia
https://www.whitecase.com/people/matthew-weetman,Solicitor of the High Court of Australia
https://www.whitecase.com/people/yuiyee-wong,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/yan-yan,New York State Bar
https://www.whitecase.com/people/yan-yan,PRC Bar
